Group,N,Model_Variant,TF,rs,Global_Score,Specificity_Score,Mean_MSE,Mean_WMSE,Mean_Pearson,Mean_Pearson_Pert,Mean_Pearson_TopK_DEGs,Mean_Rank_L1,Mean_Rank_Cosine,Matrix_Dist
test_unseen,145,Ridge_Concat_KP,0.3,1,0.0377512064738823,0.2158664231397250,0.0275546533986926,0.1903364215832150,0.3705570259163610,0.1090862993165310,0.6645568544214420,0.6353948531806970,0.668779375494439,39.47172543469530
Combined,742,Ridge_Concat_KP,0.3,1,0.1542742602222420,0.2867055289446310,0.0260930102885853,0.1746147910798590,0.3231955911183280,0.2216950778166410,0.6927878509332150,0.6246203316709770,0.608495112963832,269.0449223081660
test_seen,597,KNN_KP,0.3,1,0.1521203952308640,0.1894440287753980,0.0243082707707115,0.1881975869367780,0.3730458601839220,0.2582145673071360,0.7570811017679590,0.5671926885891450,0.5509486252675890,387.2652315997770
test_unseen,145,KNN_KP,0.3,1,0.1528060801209330,0.193303192400177,0.0223840036423753,0.1795176902759200,0.5160692039560530,0.1775213356918380,0.7985202781389180,0.6595188235841590,0.6655125878356370,68.5267761597988
Combined,742,KNN_KP,0.3,1,0.1518377311332350,0.1892914355703870,0.0239322347415892,0.1865013807159900,0.4009951659075860,0.2424456743364910,0.7643627461781910,0.5852348578267150,0.5733364616184870,463.6532093591780
test_seen,597,KRR_KP,0.3,1,0.1840771254049730,0.2311717821456790,0.0229341906545091,0.178577076894263,0.3695012279370010,0.3008701131755960,0.7578840778793610,0.5813186490256050,0.5633272073367290,350.35961575607400
test_unseen,145,KRR_KP,0.3,1,0.138135279730407,0.1749374371263970,0.0229946408492363,0.1851446539932420,0.4916106862579880,0.1600212615646730,0.8125664727237860,0.6345758294941600,0.6533668388477830,63.77827938466470
Combined,742,KRR_KP,0.3,1,0.1758323392209370,0.2205788676564740,0.0229460036979531,0.1798604982950070,0.3933635883905640,0.2733457419039190,0.7674928054079340,0.5917260495214810,0.5809225531171910,421.53084032779000
test_seen,597,RIDGE_LatentReg_KP,0.3,1,0.1890788660876430,0.2280251345848470,0.022645749602772,0.1787397923390480,0.3770009243681940,0.3153677530084190,0.7672480238617450,0.5866941545333510,0.5647920212850130,373.47457048653700
test_unseen,145,RIDGE_LatentReg_KP,0.3,1,0.1171880122690190,0.1611013480820110,0.0231251433074942,0.1870559986565670,0.5039159192202680,0.161078878327833,0.7808295141956890,0.6350597980362050,0.6508073898273540,69.48587682397580
Combined,742,RIDGE_LatentReg_KP,0.3,1,0.1764006240825860,0.2156168726227240,0.0227394316609724,0.1803649269967840,0.4018023721492590,0.2852169621341810,0.7696345477223420,0.5961456616868730,0.581600954490726,450.4753376144990
test_seen,597,LLM_KNN_KP,0.3,1,0.1817060267958480,0.296511803559872,0.026009862920079,0.172762516750916,0.3197378433203650,0.2496971837359910,0.7142101504657450,0.6157372557795730,0.6003657513840010,235.24416513071900
test_unseen,145,LLM_KNN_KP,0.3,1,0.0972780397794098,0.2555888388877520,0.0260977209033868,0.1830035206886770,0.3977611161345750,0.1431061371106720,0.7065171379034590,0.6531527758388010,0.6921773930848340,36.710373450571000
Combined,742,LLM_KNN_KP,0.3,1,0.1670302506153880,0.2882248455038020,0.0260270319329895,0.1747637911053300,0.3349849788433580,0.228867396996542,0.7128583431464940,0.6230489140121710,0.6183073794791770,279.29901408541900
test_seen,597,DNN_MultiCtx,0.3,1,0.3446917407686720,0.3674592276452090,0.0190895652822398,0.1328899670604500,0.424304702020464,0.4341196229183420,0.8634678825100720,0.6954678927701940,0.6242480960809450,348.96303742066500
test_unseen,145,DNN_MultiCtx,0.3,1,0.1295431227308830,0.1598018340475070,0.0239324411859029,0.1838898413853050,0.5194514118391890,0.1685244350646040,0.8093589128418400,0.6352273256084510,0.654260319233096,73.31068105420160
Combined,742,DNN_MultiCtx,0.3,1,0.3077396330771820,0.3310756847638780,0.0200359493874031,0.1428562497789190,0.4428980617559290,0.3822175983377590,0.8539599165939290,0.683695814281713,0.6301130183950440,428.64998059721000
