Group,N,Model_Variant,TF,rs,Global_Score,Specificity_Score,Mean_MSE,Mean_WMSE,Mean_Pearson,Mean_Pearson_Pert,Mean_Pearson_TopK_DEGs,Mean_Rank_L1,Mean_Rank_Cosine,Matrix_Dist
test_seen,809,DNN_MultiCtx,0.1,1,0.338518160169483,0.3659684787169700,0.017886786019989,0.1119824344770300,0.4251741407473940,0.5024470854714880,0.8675167284657560,0.6962373715428610,0.6293598901134530,443.0994505992900
test_unseen,145,DNN_MultiCtx,0.1,1,0.2211810064281450,0.2455830113717770,0.0202029292953425,0.1305744354809930,0.384800518573872,0.4458484935237660,0.8309673620218580,0.650967905344285,0.558787133191012,97.84946691262260
Combined,954,DNN_MultiCtx,0.1,1,0.321290886745788,0.3480560183213720,0.0182388203752576,0.1148082627218670,0.4190376887398880,0.4938445741167510,0.861854150565997,0.6893567922988420,0.6186334228663320,540.8673789653490
test_seen,809,MLP_Concat_KDP,0.1,1,0.2019414116601590,0.2533475141852360,0.0203450723550925,0.1493299014343720,0.3829401602790280,0.4204045901408240,0.7708887340749300,0.6338918022197810,0.5847320996605610,491.09756992536500
test_unseen,145,MLP_Concat_KDP,0.1,1,0.1468640620420900,0.1941575978159670,0.0216603357344865,0.1440897888361460,0.3569969331749300,0.3883974667295310,0.7760103980417960,0.6245902232514380,0.542584216810797,101.02982037092400
Combined,954,MLP_Concat_KDP,0.1,1,0.193805329357407,0.2444544751206600,0.0205449813592981,0.1485334482616860,0.3789970073124720,0.4155397757858580,0.7716822313092330,0.632478040217255,0.5783259749087620,592.2509263734580
test_seen,809,Ridge_Concat_KDP,0.1,1,0.2720468061854910,0.3464221781722320,0.0202287725692129,0.1342843661360280,0.3754519236226790,0.4139593534072440,0.7980773240762450,0.6894836032722120,0.6158718094054690,331.04581172081700
test_unseen,145,Ridge_Concat_KDP,0.1,1,0.0950089059534501,0.1379516019799570,0.02446311229583,0.1637017390875310,0.3466016436497490,0.2701876246449760,0.773216072639281,0.5844773311140860,0.5276115352607010,89.58222456022350
Combined,954,Ridge_Concat_KDP,0.1,1,0.2457842053185380,0.3152554747269620,0.0208723566995687,0.1387555601380910,0.3710669229978630,0.3921072562683250,0.7942255808958710,0.6735235304599180,0.6024569878635490,421.02982065139200
test_seen,809,KNN_KDP,0.1,1,0.0960546299952118,0.1146947783332710,0.0243749382530774,0.1869843180155240,0.3922026235573970,0.2301343285396540,0.7675317925484670,0.6104267701889940,0.5399668213189240,583.1271675446470
test_unseen,145,KNN_KDP,0.1,1,0.0805865709599538,0.1050415679734660,0.0247775117566113,0.1690048749912470,0.3653870802781630,0.2315428885017130,0.7804727891377700,0.6016644353583960,0.5280674458153920,105.10354171453100
Combined,954,KNN_KDP,0.1,1,0.0938736438596888,0.1132897809008610,0.0244361260497361,0.1842515934468450,0.3881268858472410,0.2303484178420630,0.7695367356820210,0.6090949687734420,0.5381582160275070,688.4147412593950
test_seen,809,KRR_KDP,0.1,1,0.2169377284092510,0.263526006727086,0.0205379071984603,0.1503596715172430,0.3913317710788020,0.3934124920461390,0.7875151194886210,0.6428648325436430,0.5841743657722610,439.4601579197060
test_unseen,145,KRR_KDP,0.1,1,0.1684208034061790,0.2747816856124500,0.0223062618261739,0.1379372099637550,0.321128675023773,0.3785694864006890,0.7414820697363870,0.6362485074356840,0.5764012012881280,63.605787315142300
Combined,954,KRR_KDP,0.1,1,0.2105098191666730,0.2659353035716040,0.0208066822729031,0.148471561532698,0.3806614891836460,0.3911564796576800,0.7803832385410920,0.641859206610043,0.5829929099544420,500.96044032810200
test_seen,809,RIDGE_LatentReg_KDP,0.1,1,0.1917913094027180,0.2343630489088000,0.0206669691275494,0.1562746010656630,0.3953640994222160,0.3910566134851270,0.772511672356391,0.6334650709424540,0.576018480447536,495.29840529958000
test_unseen,145,RIDGE_LatentReg_KDP,0.1,1,0.1972331240334480,0.2475609082360630,0.0214666048071427,0.1390706037430850,0.3534931457656080,0.3984224376399340,0.8068469348342800,0.6389260773600610,0.569794116582842,82.65333381667710
Combined,954,RIDGE_LatentReg_KDP,0.1,1,0.1927125946698800,0.2366159966901540,0.0207885070453073,0.1536597377409520,0.3890000655855200,0.3921761569887400,0.777831220064233,0.6342950981233270,0.5750724293360260,577.231263678711
test_seen,809,BalancedKRR_lambda0.5_KDP,0.1,1,0.2976828854999510,0.3362666130821130,0.0186507410566644,0.1331270659332450,0.4186080089156860,0.462478206515137,0.831103665719977,0.6904395332156470,0.6222027375654530,424.8642697415870
test_unseen,145,BalancedKRR_lambda0.5_KDP,0.1,1,-0.0008552229545923,0.2604282247473140,0.026739347871208,0.1563646643523450,0.211882989033444,0.3287401627678420,0.5243220314832480,0.551738611281977,0.6529073343705900,49.44863645917220
Combined,954,BalancedKRR_lambda0.5_KDP,0.1,1,0.2567642233852380,0.3282360681627070,0.0198801414634871,0.1366589860283910,0.3871875394367290,0.4421511453585780,0.783574116753723,0.6693581561921860,0.626869578798938,464.0456974332190
test_seen,597,DNN_KP,0.3,1,0.2314132464910200,0.2977090386902340,0.0202079079425121,0.1409786628445490,0.3822258064329120,0.3821156206576870,0.7686438937009920,0.6385684608377020,0.6199938061879350,307.9924985617920
test_unseen,145,DNN_KP,0.3,1,0.2247618565242950,0.3096663079493680,0.0202658671179208,0.1284659118950180,0.386045288145221,0.389530194066872,0.7714729357849470,0.6716087300479310,0.6209874819675180,75.10762739387070
Combined,742,DNN_KP,0.3,1,0.230682959121207,0.2999291026744180,0.0202192341964666,0.1385334487102070,0.3829722011071500,0.3835645602053040,0.7691956572280040,0.6450251172197550,0.6201879881125160,383.4880474045340
test_seen,597,Ridge_Concat_KP,0.3,1,0.2003211707402050,0.313828313245149,0.0236551040226602,0.1397523559439790,0.3304114226194000,0.2886554274833310,0.7387675632300090,0.6511075394968550,0.6116547650533370,215.9566337981040
test_unseen,145,Ridge_Concat_KP,0.3,1,0.1668343394701800,0.3021866773085020,0.0241521834138909,0.1308460838916710,0.3359219470976630,0.2811759053218370,0.726516967876391,0.6802829354553490,0.5932058262366790,56.67208893432510
Combined,742,Ridge_Concat_KP,0.3,1,0.1947290661871900,0.311538194566007,0.0237522421786285,0.138011911944539,0.3314882771333460,0.2871937957940900,0.7363782627177790,0.6568089308903610,0.6080495142064160,272.7101434992920
test_seen,597,KNN_KP,0.3,1,0.1715415387347600,0.2016333921301290,0.021955535859883,0.15757890769409,0.4030172815172440,0.2944219735755490,0.7793079442985030,0.6213320312764910,0.569136731792114,389.13398258471000
test_unseen,145,KNN_KP,0.3,1,0.1936599083983030,0.2136638888501760,0.0214346123153049,0.1394807353629950,0.3909202242597300,0.3105674226942470,0.8330154063205960,0.6543068546698310,0.5594583275164040,96.31521503103380
Combined,742,KNN_KP,0.3,1,0.1755773960057450,0.2038361021934980,0.0218537381321689,0.1540422028584990,0.4006533013254120,0.2975770815569660,0.7897828039127410,0.6277758983816580,0.567245399420176,485.77076901459600
test_seen,597,KRR_KP,0.3,1,0.2147637102456720,0.2553333730685540,0.0204223437910486,0.1456046948320040,0.3943071772951390,0.3440112412913240,0.7875397716183040,0.6339321438501550,0.5842980082599230,339.9215860378200
test_unseen,145,KRR_KP,0.3,1,0.2171476723238970,0.2610094484587920,0.0204615610321369,0.1324832088663570,0.3821702150957360,0.3632971423708190,0.8163480048850910,0.6601982409604910,0.5722834938805900,83.89424493567010
Combined,742,KRR_KP,0.3,1,0.2153373345718020,0.2563534367576390,0.0204300075376224,0.1430405230462640,0.391935398967762,0.3477800494537590,0.7931583986738830,0.6390650064930110,0.5819501584149050,424.1086831777630
